Year,Age,mean,median,q025,q975,q250,q750
2007,8,0.1329305609,0.132185,0.030570794022643826,0.35177366094779705,0.07635690045866084,0.17713209464355945
2008,8,0.1743200283,0.17345,0.04178747585223653,0.42372566897986086,0.10031662344588257,0.22947252694170908
2009,8,0.11639293334,0.115726,0.02625404212026806,0.3259050319844898,0.06629363712147143,0.15820055948275188
2010,8,0.10491480477,0.1044075,0.02390214059941445,0.28950504826027723,0.059593955408991345,0.14263622997204456
2011,8,0.10937914053,0.1087275,0.02518644099312713,0.30539373777390044,0.061487354388997106,0.15149013879567655
2012,8,0.14958745659,0.14870250000000002,0.0357199493598088,0.3805922252119447,0.08587627249031103,0.19690294817900544
2013,8,0.2098566166,0.209005,0.0518613533918511,0.4816442599040913,0.12444461764050317,0.2718562129696813
2014,8,0.2077297525,0.206872,0.050778401646138824,0.4885067672266218,0.12403593211179242,0.2736897429841527
2015,8,0.2143119231,0.21372750000000001,0.053522445524843934,0.4910185748744657,0.12811436031230067,0.2775438875486287
2016,8,0.09803090335,0.09735055,0.020516344024733013,0.3069989752793045,0.05521694382593334,0.14427399147799477
2017,8,0.07521758981,0.07471065,0.015788916371330355,0.23040250724658184,0.04088724509104357,0.10551634505555539
2018,8,0.05366817172,0.05318225,0.011761128121938906,0.171853729216024,0.029776338312773706,0.07698557136324595
